ID,Title,Difficulty,Acceptance,Companies,CompanyCount,AvgFrequency,LeetCodeLink
309,Best Time to Buy and Sell Stock with Cooldown,Medium,47.4%,"Amazon, Apple, Facebook, Google, Meta",5,0.075,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown
784,Letter Case Permutation,Medium,64.6%,"Amazon, Facebook, Meta, Microsoft, Spotify",5,0.062,https://leetcode.com/problems/letter-case-permutation
872,Leaf-Similar Trees,Easy,64.5%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.058,https://leetcode.com/problems/leaf-similar-trees
953,Verifying an Alien Dictionary,Easy,54.1%,"Amazon, Facebook, Meta, Microsoft",4,2.682,https://leetcode.com/problems/verifying-an-alien-dictionary
680,Valid Palindrome II,Easy,36.6%,"Facebook, Google, Meta, Microsoft",4,2.417,https://leetcode.com/problems/valid-palindrome-ii
1249,Minimum Remove to Make Valid Parentheses,Medium,62.5%,"Amazon, Facebook, Meta, Microsoft",4,2.31,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses
308,Range Sum Query 2D - Mutable,Hard,35.6%,"Facebook, Google, Meta, Microsoft",4,2.27,https://leetcode.com/problems/range-sum-query-2d-mutable
281,Zigzag Iterator,Medium,58.4%,"Amazon, Apple, Google, Microsoft",4,1.893,https://leetcode.com/problems/zigzag-iterator
165,Compare Version Numbers,Medium,27.4%,"Amazon, Apple, Google, Microsoft",4,1.827,https://leetcode.com/problems/compare-version-numbers
929,Unique Email Addresses,Easy,67.4%,"Adobe, Amazon, Google, Microsoft",4,1.626,https://leetcode.com/problems/unique-email-addresses
398,Random Pick Index,Medium,56.0%,"Facebook, Google, Meta, Uber",4,1.623,https://leetcode.com/problems/random-pick-index
351,Android Unlock Patterns,Medium,48.4%,"Amazon, Apple, Google, Microsoft",4,1.514,https://leetcode.com/problems/android-unlock-patterns
256,Paint House,Easy,52.1%,"Apple, LinkedIn, Microsoft, X",4,1.424,https://leetcode.com/problems/paint-house
134,Gas Station,Medium,38.5%,"Amazon, Apple, Google, Microsoft",4,1.422,https://leetcode.com/problems/gas-station
427,Construct Quad Tree,Medium,61.4%,"Amazon, Apple, Google, Uber",4,1.407,https://leetcode.com/problems/construct-quad-tree
1192,Critical Connections in a Network,Hard,48.6%,"Adobe, Amazon, Google, Microsoft",4,1.394,https://leetcode.com/problems/critical-connections-in-a-network
766,Toeplitz Matrix,Easy,65.1%,"Apple, Facebook, Google, Meta",4,1.358,https://leetcode.com/problems/toeplitz-matrix
410,Split Array Largest Sum,Hard,44.5%,"Amazon, Facebook, Google, Meta",4,1.294,https://leetcode.com/problems/split-array-largest-sum
722,Remove Comments,Medium,34.6%,"Google, Microsoft, Oracle, Uber",4,1.276,https://leetcode.com/problems/remove-comments
1057,Campus Bikes,Medium,57.7%,"Amazon, Facebook, Google, Meta",4,1.275,https://leetcode.com/problems/campus-bikes
763,Partition Labels,Medium,76.1%,"Amazon, Apple, Facebook, Meta",4,1.143,https://leetcode.com/problems/partition-labels
265,Paint House II,Hard,44.6%,"Facebook, Google, LinkedIn, Meta",4,1.143,https://leetcode.com/problems/paint-house-ii
678,Valid Parenthesis String,Medium,31.0%,"Amazon, Facebook, Google, Meta",4,1.124,https://leetcode.com/problems/valid-parenthesis-string
299,Bulls and Cows,Easy,42.4%,"Amazon, Google, Microsoft, Uber",4,1.069,https://leetcode.com/problems/bulls-and-cows
494,Target Sum,Medium,46.3%,"Facebook, Google, Meta, Microsoft",4,0.992,https://leetcode.com/problems/target-sum
715,Range Module,Hard,38.5%,"Amazon, Google, LinkedIn, Oracle",4,0.991,https://leetcode.com/problems/range-module
274,H-Index,Medium,36.1%,"Adobe, Facebook, Google, Meta",4,0.969,https://leetcode.com/problems/h-index
963,Minimum Area Rectangle II,Medium,50.9%,"Amazon, Facebook, Google, Meta",4,0.959,https://leetcode.com/problems/minimum-area-rectangle-ii
935,Knight Dialer,Medium,45.2%,"Facebook, Google, Meta, Microsoft",4,0.929,https://leetcode.com/problems/knight-dialer
1032,Stream of Characters,Hard,48.3%,"Amazon, Facebook, Google, Meta",4,0.922,https://leetcode.com/problems/stream-of-characters
175,Combine Two Tables,Easy,60.8%,"Adobe, Amazon, Apple, Google",4,0.898,https://leetcode.com/problems/combine-two-tables
605,Can Place Flowers,Easy,31.6%,"Amazon, Facebook, LinkedIn, Meta",4,0.884,https://leetcode.com/problems/can-place-flowers
1004,Max Consecutive Ones III,Medium,59.1%,"Amazon, Facebook, Meta, Microsoft",4,0.84,https://leetcode.com/problems/max-consecutive-ones-iii
556,Next Greater Element III,Medium,31.7%,"Amazon, Facebook, Meta, Microsoft",4,0.828,https://leetcode.com/problems/next-greater-element-iii
730,Count Different Palindromic Subsequences,Hard,41.8%,"Facebook, Google, LinkedIn, Meta",4,0.781,https://leetcode.com/problems/count-different-palindromic-subsequences
